0,Training Set,Testing Set,protected_FNR,privileged_FNR,protected_FNR,privileged_FNR
HSR,HC,HC,0.688,0.4,0.463,0.682
HSR,HC,HC,1.72,,0.679,
HSR,HC,LC,0.449,0.564,0.458,0.576
HSR,HC,LC,0.796,,0.795,
HSR,HC,HC+LC,0.398,0.453,0.463,0.453
HSR,HC,HC+LC,0.879,,1.022,
HSR,LC,HC,0.312,0.0,0.0,0.0
HSR,LC,HC,inf,,,
HSR,LC,LC,0.222,0.0,0.153,0.0
HSR,LC,LC,inf,,inf,
HSR,LC,HC+LC,0.08,0.0,0.048,0.0
HSR,LC,HC+LC,inf,,inf,
HSR,HC+LC,HC,0.062,0.0,0.024,0.0
HSR,HC+LC,HC,inf,,inf,
HSR,HC+LC,LC,0.072,0.004,0.097,0.004
HSR,HC+LC,LC,18.0,,24.25,
HSR,HC+LC,HC+LC,0.212,0.026,0.192,0.026
HSR,HC+LC,HC+LC,8.154,,7.385,
CP1,HC,HC,0.0,0.25,0.47,0.365
CP1,HC,HC,0.0,,1.288,
CP1,HC,LC,0.664,0.263,0.381,0.263
CP1,HC,LC,2.525,,1.449,
CP1,HC,HC+LC,0.45,0.136,0.258,0.139
CP1,HC,HC+LC,3.309,,1.856,
CP1,LC,HC,0.0,0.25,0.12,0.312
CP1,LC,HC,0.0,,0.385,
CP1,LC,LC,0.698,0.07,0.174,0.075
CP1,LC,LC,9.971,,2.32,
CP1,LC,HC+LC,0.45,0.167,0.16,0.162
CP1,LC,HC+LC,2.695,,0.988,
CP1,HC+LC,HC,0.0,0.0,0.02,0.062
CP1,HC+LC,HC,,,0.323,
CP1,HC+LC,LC,0.043,0.056,0.03,0.053
CP1,HC+LC,LC,0.768,,0.566,
CP1,HC+LC,HC+LC,0.112,0.137,0.161,0.135
CP1,HC+LC,HC+LC,0.818,,1.193,
CP2,HC,HC,0.1,0.446,0.457,0.444
CP2,HC,HC,0.224,,1.029,
CP2,HC,LC,0.453,0.485,0.521,0.49
CP2,HC,LC,0.934,,1.063,
CP2,HC,HC+LC,0.425,0.369,0.29,0.365
CP2,HC,HC+LC,1.152,,0.795,
CP2,LC,HC,0.0,0.25,0.367,0.298
CP2,LC,HC,0.0,,1.232,
CP2,LC,LC,0.432,0.134,0.352,0.132
CP2,LC,LC,3.224,,2.667,
CP2,LC,HC+LC,0.162,0.182,0.163,0.187
CP2,LC,HC+LC,0.89,,0.872,
CP2,HC+LC,HC,0.0,0.161,0.245,0.122
CP2,HC+LC,HC,0.0,,2.008,
CP2,HC+LC,LC,0.145,0.151,0.24,0.143
CP2,HC+LC,LC,0.96,,1.678,
CP2,HC+LC,HC+LC,0.406,0.257,0.252,0.257
CP2,HC+LC,HC+LC,1.58,,0.981,
