0,Training Set,Testing Set,protected_FPR,privileged_FPR,protected_FPR,privileged_FPR
HSR,HC,HC,,0.857,0.424,0.915
HSR,HC,HC,,,0.463,
HSR,HC,LC,0.764,0.53,0.578,0.528
HSR,HC,LC,1.442,,1.095,
HSR,HC,HC+LC,0.792,0.506,0.411,0.506
HSR,HC,HC+LC,1.565,,0.812,
HSR,LC,HC,,1.0,0.992,1.0
HSR,LC,HC,,,0.992,
HSR,LC,LC,0.0,0.0,0.05,0.0
HSR,LC,LC,,,inf,
HSR,LC,HC+LC,0.02,0.26,0.378,0.26
HSR,LC,HC+LC,0.077,,1.454,
HSR,HC+LC,HC,,0.321,0.364,0.426
HSR,HC+LC,HC,,,0.854,
HSR,HC+LC,LC,0.0,0.0,0.0,0.0
HSR,HC+LC,LC,,,,
HSR,HC+LC,HC+LC,0.0,0.179,0.334,0.179
HSR,HC+LC,HC+LC,0.0,,1.866,
CP1,HC,HC,0.0,0.577,0.214,0.375
CP1,HC,HC,0.0,,0.571,
CP1,HC,LC,0.147,0.253,0.247,0.244
CP1,HC,LC,0.581,,1.012,
CP1,HC,HC+LC,0.107,0.162,0.184,0.156
CP1,HC,HC+LC,0.66,,1.179,
CP1,LC,HC,1.0,0.577,0.491,0.554
CP1,LC,HC,1.733,,0.886,
CP1,LC,LC,0.033,0.218,0.19,0.211
CP1,LC,LC,0.151,,0.9,
CP1,LC,HC+LC,0.166,0.147,0.218,0.151
CP1,LC,HC+LC,1.129,,1.444,
CP1,HC+LC,HC,0.222,0.154,0.188,0.107
CP1,HC+LC,HC,1.442,,1.757,
CP1,HC+LC,LC,0.0,0.037,0.063,0.035
CP1,HC+LC,LC,0.0,,1.8,
CP1,HC+LC,HC+LC,0.009,0.125,0.163,0.124
CP1,HC+LC,HC+LC,0.072,,1.315,
CP2,HC,HC,0.963,0.158,0.323,0.228
CP2,HC,HC,6.095,,1.417,
CP2,HC,LC,0.07,0.34,0.427,0.342
CP2,HC,LC,0.206,,1.249,
CP2,HC,HC+LC,0.117,0.13,0.296,0.131
CP2,HC,HC+LC,0.9,,2.26,
CP2,LC,HC,0.0,0.184,0.554,0.263
CP2,LC,HC,0.0,,2.106,
CP2,LC,LC,0.117,0.206,0.35,0.209
CP2,LC,LC,0.568,,1.675,
CP2,LC,HC+LC,0.023,0.186,0.303,0.18
CP2,LC,HC+LC,0.124,,1.683,
CP2,HC+LC,HC,0.037,0.132,0.24,0.094
CP2,HC+LC,HC,0.28,,2.553,
CP2,HC+LC,LC,0.023,0.173,0.142,0.163
CP2,HC+LC,LC,0.133,,0.871,
CP2,HC+LC,HC+LC,0.042,0.216,0.354,0.209
CP2,HC+LC,HC+LC,0.194,,1.694,
