0,Training Set,Testing Set,protected_PPV,privileged_PPV,protected_PPV,privileged_PPV
HSR,HC,HC,1.0,0.111,0.472,0.1
HSR,HC,HC,9.009,,4.72,
HSR,HC,LC,0.401,0.475,0.525,0.468
HSR,HC,LC,0.844,,1.122,
HSR,HC,HC+LC,0.505,0.511,0.51,0.511
HSR,HC,HC+LC,0.988,,0.998,
HSR,LC,HC,1.0,0.208,0.381,0.288
HSR,LC,HC,4.808,,1.323,
HSR,LC,LC,1.0,1.0,0.942,1.0
HSR,LC,LC,1.0,,0.942,
HSR,LC,HC+LC,0.992,0.773,0.648,0.773
HSR,LC,HC+LC,1.283,,0.838,
HSR,HC+LC,HC,1.0,0.5,0.694,0.526
HSR,HC+LC,HC,2.0,,1.319,
HSR,HC+LC,LC,1.0,1.0,1.0,1.0
HSR,HC+LC,LC,1.0,,1.0,
HSR,HC+LC,HC+LC,1.0,0.834,0.645,0.834
HSR,HC+LC,HC+LC,1.199,,0.773,
CP1,HC,HC,1.0,0.605,0.675,0.762
CP1,HC,HC,1.653,,0.886,
CP1,HC,LC,0.61,0.799,0.772,0.805
CP1,HC,LC,0.763,,0.959,
CP1,HC,HC+LC,0.795,0.89,0.84,0.894
CP1,HC,HC+LC,0.893,,0.94,
CP1,LC,HC,0.66,0.605,0.606,0.695
CP1,LC,HC,1.091,,0.872,
CP1,LC,LC,0.896,0.852,0.85,0.856
CP1,LC,LC,1.052,,0.993,
CP1,LC,HC+LC,0.643,0.896,0.816,0.895
CP1,LC,HC+LC,0.718,,0.912,
CP1,HC+LC,HC,0.895,0.912,0.846,0.956
CP1,HC+LC,HC,0.981,,0.885,
CP1,HC+LC,LC,1.0,0.973,0.957,0.974
CP1,HC+LC,LC,1.028,,0.983,
CP1,HC+LC,HC+LC,0.986,0.892,0.858,0.892
CP1,HC+LC,HC+LC,1.105,,0.962,
CP2,HC,HC,0.234,0.869,0.639,0.79
CP2,HC,HC,0.269,,0.809,
CP2,HC,LC,0.906,0.745,0.436,0.736
CP2,HC,LC,1.216,,0.592,
CP2,HC,HC+LC,0.775,0.837,0.733,0.839
CP2,HC,HC+LC,0.926,,0.874,
CP2,LC,HC,1.0,0.88,0.548,0.797
CP2,LC,HC,1.136,,0.688,
CP2,LC,LC,0.856,0.88,0.591,0.879
CP2,LC,LC,0.973,,0.672,
CP2,LC,HC+LC,0.957,0.828,0.759,0.833
CP2,LC,HC+LC,1.156,,0.911,
CP2,HC+LC,HC,0.909,0.923,0.778,0.933
CP2,HC+LC,HC,0.985,,0.834,
CP2,HC+LC,LC,0.975,0.906,0.813,0.911
CP2,HC+LC,LC,1.076,,0.892,
CP2,HC+LC,HC+LC,0.917,0.774,0.706,0.781
CP2,HC+LC,HC+LC,1.185,,0.904,
