0,Training Set,Testing Set,protected_TPR,privileged_TPR,protected_TPR,privileged_TPR
HSR,HC,HC,0.312,0.6,0.537,0.318
HSR,HC,HC,0.52,,1.689,
HSR,HC,LC,0.551,0.436,0.542,0.424
HSR,HC,LC,1.264,,1.278,
HSR,HC,HC+LC,0.602,0.547,0.537,0.547
HSR,HC,HC+LC,1.101,,0.982,
HSR,LC,HC,0.688,1.0,1.0,1.0
HSR,LC,HC,0.688,,1.0,
HSR,LC,LC,0.778,1.0,0.847,1.0
HSR,LC,LC,0.778,,0.847,
HSR,LC,HC+LC,0.92,1.0,0.952,1.0
HSR,LC,HC+LC,0.92,,0.952,
HSR,HC+LC,HC,0.938,1.0,0.976,1.0
HSR,HC+LC,HC,0.938,,0.976,
HSR,HC+LC,LC,0.928,0.996,0.903,0.996
HSR,HC+LC,LC,0.932,,0.907,
HSR,HC+LC,HC+LC,0.788,0.974,0.808,0.974
HSR,HC+LC,HC+LC,0.809,,0.83,
CP1,HC,HC,1.0,0.75,0.53,0.635
CP1,HC,HC,1.333,,0.835,
CP1,HC,LC,0.336,0.737,0.619,0.737
CP1,HC,LC,0.456,,0.84,
CP1,HC,HC+LC,0.55,0.864,0.742,0.861
CP1,HC,HC+LC,0.637,,0.862,
CP1,LC,HC,1.0,0.75,0.88,0.688
CP1,LC,HC,1.333,,1.279,
CP1,LC,LC,0.302,0.93,0.826,0.925
CP1,LC,LC,0.325,,0.893,
CP1,LC,HC+LC,0.55,0.833,0.84,0.838
CP1,LC,HC+LC,0.66,,1.002,
CP1,HC+LC,HC,1.0,1.0,0.98,0.938
CP1,HC+LC,HC,1.0,,1.045,
CP1,HC+LC,LC,0.957,0.944,0.97,0.947
CP1,HC+LC,LC,1.014,,1.024,
CP1,HC+LC,HC+LC,0.888,0.863,0.839,0.865
CP1,HC+LC,HC+LC,1.029,,0.97,
CP2,HC,HC,0.9,0.554,0.543,0.556
CP2,HC,HC,1.625,,0.977,
CP2,HC,LC,0.547,0.515,0.479,0.51
CP2,HC,LC,1.062,,0.939,
CP2,HC,HC+LC,0.575,0.631,0.71,0.635
CP2,HC,HC+LC,0.911,,1.118,
CP2,LC,HC,1.0,0.75,0.633,0.702
CP2,LC,HC,1.333,,0.902,
CP2,LC,LC,0.568,0.866,0.648,0.868
CP2,LC,LC,0.656,,0.747,
CP2,LC,HC+LC,0.838,0.818,0.837,0.813
CP2,LC,HC+LC,1.024,,1.03,
CP2,HC+LC,HC,1.0,0.839,0.755,0.878
CP2,HC+LC,HC,1.192,,0.86,
CP2,HC+LC,LC,0.855,0.849,0.76,0.857
CP2,HC+LC,LC,1.007,,0.887,
CP2,HC+LC,HC+LC,0.594,0.743,0.748,0.743
CP2,HC+LC,HC+LC,0.799,,1.007,
