0,Training Set,Testing Set,protected_te,privileged_te,protected_te,privileged_te
HSR,HC,HC,0.0,0.0,0.268,0.094
HSR,HC,HC,,,2.851,
HSR,HC,LC,0.36,0.325,0.524,0.337
HSR,HC,LC,1.108,,1.555,
HSR,HC,HC+LC,0.613,0.426,0.608,0.426
HSR,HC,HC+LC,1.439,,1.427,
HSR,LC,HC,0.0,0.0,0.0,0.0
HSR,LC,HC,,,,
HSR,LC,LC,0.0,,0.056,
HSR,LC,LC,,,,
HSR,LC,HC+LC,0.0,0.0,0.084,0.0
HSR,LC,HC+LC,,,inf,
HSR,HC+LC,HC,0.0,0.0,0.042,0.0
HSR,HC+LC,HC,,,inf,
HSR,HC+LC,LC,0.0,0.0,0.0,0.0
HSR,HC+LC,LC,,,,
HSR,HC+LC,HC+LC,0.0,0.043,0.336,0.043
HSR,HC+LC,HC+LC,0.0,,7.814,
CP1,HC,HC,,0.0,0.273,0.034
CP1,HC,HC,,,8.029,
CP1,HC,LC,0.064,0.151,0.414,0.159
CP1,HC,LC,0.424,,2.604,
CP1,HC,HC+LC,0.076,0.161,0.637,0.153
CP1,HC,HC+LC,0.472,,4.163,
CP1,LC,HC,0.0,0.091,0.121,0.185
CP1,LC,HC,0.0,,0.654,
CP1,LC,LC,0.0,0.0,0.254,0.0
CP1,LC,LC,,,inf,
CP1,LC,HC+LC,0.167,0.151,0.492,0.146
CP1,LC,HC+LC,1.106,,3.37,
CP1,HC+LC,HC,0.0,0.0,0.0,0.0
CP1,HC+LC,HC,,,,
CP1,HC+LC,LC,0.0,0.0,0.0,0.0
CP1,HC+LC,LC,,,,
CP1,HC+LC,HC+LC,0.0,0.214,0.439,0.241
CP1,HC+LC,HC+LC,0.0,,1.822,
CP2,HC,HC,0.0,0.083,0.36,0.123
CP2,HC,HC,0.0,,2.927,
CP2,HC,LC,0.038,0.314,0.775,0.345
CP2,HC,LC,0.121,,2.246,
CP2,HC,HC+LC,0.15,0.359,1.073,0.362
CP2,HC,HC+LC,0.418,,2.964,
CP2,LC,HC,,0.3,0.361,0.13
CP2,LC,HC,,,2.777,
CP2,LC,LC,0.135,0.141,0.426,0.162
CP2,LC,LC,0.957,,2.63,
CP2,LC,HC+LC,0.0,0.348,0.6,0.338
CP2,LC,HC+LC,0.0,,1.775,
CP2,HC+LC,HC,0.0,0.286,0.284,0.1
CP2,HC+LC,HC,0.0,,2.84,
CP2,HC+LC,LC,0.05,0.129,0.312,0.129
CP2,HC+LC,LC,0.388,,2.419,
CP2,HC+LC,HC+LC,0.071,0.46,0.706,0.449
CP2,HC+LC,HC+LC,0.154,,1.572,
